epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.438,2.3369,3.67956,2.26774,0.28239,0.13546,0.08267,0.03153,2.55665,3.17751,2.48852,0.00332103,0.00332103,0.00332103
2,376.237,2.04469,2.65555,1.97364,0.25565,0.22793,0.16252,0.05745,2.43032,3.23408,2.20599,0.00658849,0.00658849,0.00658849
3,553.08,2.11529,2.74279,2.01165,0.07482,0.11537,0.03073,0.00851,2.73157,4.19696,2.6578,0.00978994,0.00978994,0.00978994
4,747.908,2.20026,2.89689,2.10221,0.1452,0.10626,0.04504,0.01308,2.86524,3.67208,2.74634,0.009703,0.009703,0.009703
5,920.134,2.13044,2.73878,2.05288,0.2002,0.14416,0.09578,0.02882,2.63424,4.06099,2.49705,0.009604,0.009604,0.009604
6,1113.51,2.06519,2.61662,2.01571,0.32453,0.20999,0.19827,0.06204,2.49273,2.75303,2.31,0.009505,0.009505,0.009505
7,1283.03,2.03282,2.5241,1.97914,0.32575,0.25809,0.23064,0.07963,2.41061,2.57138,2.24822,0.009406,0.009406,0.009406
8,1484.57,1.99779,2.46236,1.95459,0.30283,0.26577,0.24211,0.08658,2.3328,2.67467,2.2207,0.009307,0.009307,0.009307
9,1657.89,1.98211,2.43294,1.94654,0.50551,0.25872,0.2773,0.10619,2.27582,2.93609,2.15178,0.009208,0.009208,0.009208
10,1853.7,1.96341,2.35646,1.91341,0.41085,0.31992,0.30892,0.11643,2.24861,2.40902,2.10213,0.009109,0.009109,0.009109
11,2023.14,1.93465,2.28797,1.8898,0.42817,0.24896,0.24249,0.08991,2.37644,2.5627,2.14018,0.00901,0.00901,0.00901
12,2215.17,1.93746,2.25142,1.87029,0.43786,0.32479,0.32461,0.12596,2.30359,2.30765,2.06068,0.008911,0.008911,0.008911
13,2387.09,1.92304,2.22819,1.86645,0.45482,0.31829,0.31951,0.11596,2.30953,2.36849,2.14277,0.008812,0.008812,0.008812
14,2579.31,1.90297,2.1675,1.84162,0.48241,0.33734,0.33831,0.13494,2.23527,2.25455,2.05533,0.008713,0.008713,0.008713
15,2751.54,1.89141,2.1467,1.83336,0.41271,0.3835,0.3495,0.14156,2.2086,2.26003,1.97345,0.008614,0.008614,0.008614
16,2943.72,1.88099,2.13347,1.82673,0.43879,0.37516,0.36323,0.14589,2.19737,2.18942,2.01022,0.008515,0.008515,0.008515
17,3115.67,1.86687,2.10371,1.81385,0.43357,0.36107,0.35256,0.1467,2.15971,2.1599,1.98347,0.008416,0.008416,0.008416
18,3306.49,1.85915,2.08483,1.80772,0.51679,0.41281,0.42272,0.17361,2.17008,2.03013,1.99806,0.008317,0.008317,0.008317
19,3477.47,1.84533,2.03663,1.80157,0.51077,0.38448,0.40509,0.16375,2.19628,2.0625,2.0093,0.008218,0.008218,0.008218
