epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3168,2.56792,5.0268,2.6447,0.01446,0.09293,0.00937,0.00269,2.92968,5.64817,3.05001,0.000294343,0.000294343,0.000294343
2,80.845,2.33229,3.72159,2.47407,0.06081,0.10817,0.02526,0.00679,2.79901,3.83968,2.67323,0.000539998,0.000539998,0.000539998
3,108.548,2.31379,3.46255,2.43365,0.23239,0.03639,0.01554,0.00422,3.44098,4.04617,3.21839,0.000727477,0.000727477,0.000727477
4,135.064,2.27372,3.30029,2.49153,0.18512,0.19404,0.0335,0.00892,2.85673,5.41446,2.93016,0.000647208,0.000647208,0.000647208
5,163.716,2.2376,3.2046,2.47289,0.08715,0.22326,0.05033,0.01307,2.66657,4.12093,2.7085,0.000559944,0.000559944,0.000559944
6,190.475,2.19852,2.98348,2.40509,0.13037,0.17583,0.06854,0.01921,2.59204,3.16817,2.69934,0.00047268,0.00047268,0.00047268
7,218.729,2.15662,2.93979,2.36942,0.16035,0.16947,0.09517,0.02679,2.61973,2.95485,2.60106,0.000385416,0.000385416,0.000385416
8,246.425,2.10952,2.8265,2.30945,0.18509,0.26365,0.13158,0.03818,2.48855,2.79036,2.52648,0.000298152,0.000298152,0.000298152
9,276.937,2.04112,2.68316,2.25306,0.24723,0.24898,0.15135,0.0458,2.5209,2.80339,2.57202,0.000210888,0.000210888,0.000210888
10,302.532,1.98345,2.57094,2.22116,0.24018,0.25206,0.16357,0.04376,2.53039,2.64197,2.58443,0.000123624,0.000123624,0.000123624
