epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.748,2.25177,3.39478,2.16691,0.16767,0.14811,0.11006,0.03614,2.60275,2.94297,2.40945,0.00030217,0.00030217,0.00030217
2,287.914,2.13322,2.77827,2.11062,0.3024,0.20331,0.12527,0.03885,2.51421,3.27119,2.51684,0.000576424,0.000576424,0.000576424
3,426.524,2.11104,2.67971,2.08896,0.18544,0.18451,0.11849,0.03594,2.65249,3.01252,2.51057,0.000821894,0.000821894,0.000821894
4,563.087,2.05554,2.60144,2.05045,0.36728,0.24191,0.2032,0.06249,2.45217,2.73145,2.35702,0.000779468,0.000779468,0.000779468
5,700.185,1.99872,2.47608,1.98721,0.6582,0.25137,0.24569,0.08199,2.3734,2.6729,2.30339,0.00073629,0.00073629,0.00073629
6,838.274,1.95063,2.38341,1.93578,0.36771,0.29761,0.25585,0.09408,2.28511,2.59157,2.20003,0.000693112,0.000693112,0.000693112
7,975.192,1.92966,2.30658,1.9143,0.36227,0.30486,0.29077,0.11142,2.30085,2.41435,2.16811,0.000649935,0.000649935,0.000649935
8,1110.81,1.90532,2.25893,1.88796,0.41398,0.32436,0.32712,0.13086,2.19584,2.31576,2.11608,0.000606757,0.000606757,0.000606757
9,1246.5,1.8782,2.20484,1.87331,0.42527,0.34758,0.34523,0.14006,2.17142,2.20902,2.0661,0.00056358,0.00056358,0.00056358
10,1381.88,1.8595,2.15233,1.84765,0.43223,0.38284,0.36871,0.14728,2.18053,2.20704,2.10766,0.000520402,0.000520402,0.000520402
11,1539.09,1.84206,2.0835,1.90288,0.47551,0.36894,0.38369,0.15368,2.17165,2.10239,2.06475,0.000477225,0.000477225,0.000477225
12,1674.66,1.82034,2.03004,1.88233,0.49523,0.39928,0.40788,0.17184,2.12768,2.08448,2.02395,0.000434047,0.000434047,0.000434047
13,1822.54,1.79958,1.96121,1.86418,0.51997,0.40845,0.42044,0.1754,2.13068,2.01915,1.99112,0.00039087,0.00039087,0.00039087
14,1967.34,1.77686,1.89243,1.8417,0.51757,0.41462,0.43869,0.18558,2.09691,1.95389,1.97949,0.000347692,0.000347692,0.000347692
15,2102.51,1.75702,1.85896,1.82369,0.54216,0.46338,0.48337,0.2093,2.05273,1.87548,1.92556,0.000304515,0.000304515,0.000304515
16,2237.62,1.74542,1.80858,1.81012,0.54851,0.46213,0.48821,0.21292,2.02704,1.84224,1.90828,0.000261337,0.000261337,0.000261337
17,2372.74,1.72259,1.75121,1.77946,0.56511,0.46533,0.49913,0.22392,2.00648,1.80366,1.88962,0.00021816,0.00021816,0.00021816
18,2507.86,1.69202,1.6909,1.76435,0.60315,0.48496,0.52591,0.23609,1.97659,1.75379,1.86357,0.000174982,0.000174982,0.000174982
19,2643.23,1.6788,1.6504,1.74854,0.58963,0.51187,0.54242,0.24355,1.97726,1.70564,1.86178,0.000131805,0.000131805,0.000131805
20,2778.38,1.65966,1.59849,1.72549,0.61557,0.50804,0.5575,0.25552,1.95003,1.67515,1.83036,8.86275e-05,8.86275e-05,8.86275e-05
