epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.528,2.23251,3.34982,2.1779,0.15673,0.16081,0.11581,0.04239,2.6142,3.07797,2.52928,0.000302337,0.000302337,0.000302337
2,290.064,2.11285,2.72887,2.07156,0.40489,0.22658,0.18399,0.05676,2.48928,2.86062,2.39668,0.000490323,0.000490323,0.000490323
3,428.503,2.03338,2.56655,2.02743,0.29519,0.25283,0.21556,0.08392,2.27839,2.58715,2.21332,0.000563169,0.000563169,0.000563169
4,575.302,1.95852,2.4144,1.95203,0.37779,0.28659,0.26233,0.09649,2.30601,2.4181,2.28448,0.00039087,0.00039087,0.00039087
5,714.115,1.88823,2.22221,1.87837,0.50309,0.31224,0.34968,0.13557,2.19762,2.24312,2.11006,0.00021816,0.00021816,0.00021816
