epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.624,2.33768,3.68377,2.26876,0.34706,0.16395,0.11327,0.04203,2.53739,2.94462,2.40372,0.00332192,0.00332192,0.00332192
2,277.49,2.05122,2.64965,1.96935,0.18722,0.12454,0.06476,0.02291,2.79952,3.35956,2.69297,0.0066131,0.0066131,0.0066131
3,428.749,2.13499,2.77939,2.04385,0.18249,0.17307,0.09724,0.02865,2.61489,3.11558,2.52237,0.00986206,0.00986206,0.00986206
4,560.944,2.13326,2.76752,2.06516,0.26011,0.12697,0.06812,0.02055,2.71153,3.82212,2.65483,0.00981,0.00981,0.00981
