epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.511,2.77381,3.93178,2.89693,0.59963,0.05464,0.01935,0.00541,2.87793,4.55888,3.00967,0.0700187,0.00333126,0.00333126
2,580.904,2.61026,3.57376,2.80761,0.27972,0.08626,0.08135,0.02765,2.5985,3.37409,2.86463,0.0393589,0.0060048,0.0060048
3,840.538,2.5194,3.40247,2.70664,0.50746,0.12718,0.10577,0.0363,2.4714,3.17511,2.7496,0.0080391,0.00801833,0.00801833
4,1097.3,2.45999,3.2583,2.63496,0.43113,0.14239,0.11052,0.03724,2.40778,3.09222,2.72324,0.00703,0.00703,0.00703
5,1351.09,2.40347,3.15272,2.59025,0.46767,0.15107,0.12566,0.04481,2.3004,2.98811,2.64042,0.00604,0.00604,0.00604
6,1604.55,2.36034,3.04063,2.53678,0.2133,0.18478,0.15344,0.0563,2.30254,2.876,2.57804,0.00505,0.00505,0.00505
7,1857.91,2.30966,2.92422,2.4775,0.25544,0.23545,0.16353,0.05735,2.21558,2.77072,2.50387,0.00406,0.00406,0.00406
8,2111.57,2.26442,2.84123,2.43581,0.2817,0.23431,0.17752,0.06574,2.17497,2.64897,2.45034,0.00307,0.00307,0.00307
9,2364.97,2.22347,2.73608,2.39596,0.27225,0.25529,0.19078,0.07192,2.15024,2.63646,2.42638,0.00208,0.00208,0.00208
10,2618.74,2.20026,2.65796,2.34949,0.30725,0.28665,0.22888,0.08871,2.11731,2.53252,2.38859,0.00109,0.00109,0.00109
