epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.852,2.3101,3.66855,2.25038,0.14202,0.13816,0.05467,0.01826,2.64694,3.46388,2.54344,0.00332184,0.00332184,0.00332184
2,477.582,2.04253,2.66371,1.94843,0.21783,0.18099,0.13592,0.04921,2.50922,3.13178,2.45155,0.00661125,0.00661125,0.00661125
3,684.05,2.1096,2.76245,2.02134,0.13582,0.10812,0.06814,0.01853,2.66465,3.50106,2.52892,0.00985666,0.00985666,0.00985666
4,929.997,2.1833,2.91312,2.10222,0.24741,0.05089,0.02846,0.00898,2.70924,4.12671,2.79241,0.009802,0.009802,0.009802
5,1132.27,2.12527,2.81533,2.05693,0.219,0.20099,0.14689,0.04722,2.43273,2.79565,2.30268,0.009736,0.009736,0.009736
6,1395.97,2.05821,2.66092,2.01699,0.21682,0.20526,0.13804,0.04797,2.52645,3.03984,2.43614,0.00967,0.00967,0.00967
7,1599.67,2.02414,2.58215,1.99265,0.24668,0.24365,0.19839,0.06497,2.44158,2.83267,2.33796,0.009604,0.009604,0.009604
8,1847.33,2.00853,2.51843,1.96517,0.33585,0.27444,0.25964,0.09605,2.33061,2.60139,2.19351,0.009538,0.009538,0.009538
9,2070.74,1.98211,2.46066,1.93185,0.38775,0.30088,0.29335,0.11496,2.29278,2.47649,2.14232,0.009472,0.009472,0.009472
10,2332.64,1.96765,2.41793,1.92177,0.481,0.2997,0.28702,0.10528,2.30334,2.64315,2.16494,0.009406,0.009406,0.009406
11,2537.86,1.95627,2.36916,1.90232,0.39447,0.24135,0.22616,0.07834,2.39498,2.59772,2.17951,0.00934,0.00934,0.00934
12,2789.94,1.92958,2.30602,1.88344,0.42654,0.31484,0.3127,0.1257,2.25113,2.45082,2.12443,0.009274,0.009274,0.009274
13,2992.73,1.90222,2.26672,1.85748,0.47266,0.34534,0.35993,0.1444,2.19224,2.25819,2.04314,0.009208,0.009208,0.009208
14,3286.45,1.89988,2.24732,1.86264,0.40712,0.37186,0.35378,0.1407,2.20382,2.25983,2.0663,0.009142,0.009142,0.009142
15,3487.06,1.88935,2.2057,1.84385,0.48575,0.36557,0.38,0.15475,2.17983,2.17032,2.02625,0.009076,0.009076,0.009076
16,3749.68,1.87078,2.18168,1.83201,0.45525,0.33912,0.34457,0.139,2.26569,2.27459,1.99604,0.00901,0.00901,0.00901
17,3951.16,1.86179,2.15511,1.82323,0.47431,0.3646,0.36894,0.14684,2.21795,2.21117,2.08221,0.008944,0.008944,0.008944
